SA2_5DIG,SA2_name,SA2_area,SA2_population,SA2_population_percentage,SA2_population_density
11153,Forster-Tuncurry Surrounds,749.4773,6957.0,0.027082601233046663,9.3
11154,Tuncurry,15.6698,6322.0,0.02461063748675018,403.5
11155,Kempsey,195.1561,15809.0,0.06154216514204896,81.0
11156,Kempsey Surrounds,3627.2591,9482.0,0.036912063373831884,2.6
11157,Macksville - Scotts Head,83.793,5176.0,0.020149424174536367,61.8
11158,Nambucca Heads,31.0503,7113.0,0.027689886814813984,229.1
11159,Nambucca Heads Surrounds,1356.0988,8086.0,0.031477635988273,6.0
11160,South West Rocks,45.9673,5591.0,0.021764959536289187,121.6
11161,Lord Howe Island,16.2918,444.0,0.0017284281942608476,27.3
11162,Laurieton - Bonny Hills,524.9062,18409.0,0.07166359150483771,35.1
11164,Port Macquarie - West,54.1668,21168.0,0.08240398201827392,390.8
11165,Port Macquarie Surrounds,2871.7473,5285.0,0.02057374551051482,1.8
11166,Wauchope,194.8611,12803.0,0.049840239124147825,65.7
11163,Port Macquarie - East,7.0934,11720.0,0.04562427575841697,1652.2
11163,Port Macquarie - South,34.9946,17216.0,0.06701941394683503,492.0
11167,Gloucester,2933.8676,5277.0,0.020542602660167775,1.8
11168,Old Bar - Manning Point - Red Head,209.6182,12427.0,0.04837652515783683,59.3
11169,Taree,125.1186,21279.0,0.08283608906683913,170.1
11170,Taree Surrounds,3344.9329,13009.0,0.05064216752058416,3.9
11171,Wingham,61.5309,5395.0,0.02100195970278665,87.7
11172,Albury - East,101.484,17847.0,0.06947580626795799,175.9
11173,Albury - North,24.1552,10525.0,0.040972312487827525,435.7
11174,Albury - South,48.1442,10487.0,0.04082438394867908,217.8
11175,Albury Surrounds,5401.7533,12448.0,0.048458275139997814,2.3
11176,Lavington,21.467,15634.0,0.06086091529070741,728.3
11177,Hay,13922.8975,2896.0,0.011273711825629312,0.2
11178,Wentworth - Buronga,322.4567,6540.0,0.02545928015870708,20.3
11179,Wentworth-Balranald Region,49722.5286,3651.0,0.01421281832713143,0.1
11180,Corowa,77.1283,5568.0,0.02167542384154144,72.2
11181,Corowa Surrounds,4495.1557,7220.0,0.028106422438205676,1.6
11182,Deniliquin,143.2081,7015.0,0.02730838689806272,49.0
11183,Deniliquin Surrounds,18337.9454,6814.0,0.026525922783093278,0.4
11184,Moama,167.0068,6891.0,0.02682567271768356,41.3
11185,Tocumwal - Finley - Jerilderie,5011.159,9796.0,0.038134420249953296,2.0
11186,Armidale,274.5996,24171.0,0.09409422946729493,88.0
11187,Armidale Surrounds - North,6098.2353,4534.0,0.01765021043418622,0.7
11188,Armidale Surrounds - South,3280.2792,5916.0,0.02303013783163778,1.8
11189,Walcha,6742.5353,3145.0,0.012243033042681005,0.5
11190,Glen Innes,5479.977,8922.0,0.034732063849538926,1.6
11191,Inverell,207.6617,12103.0,0.04711523971878162,58.3
11192,Inverell Surrounds - East,9270.8567,5229.0,0.020355745558085524,0.6
11193,Inverell Surrounds - West,8283.6399,5720.0,0.022267137998135244,0.7
11194,Tenterfield,7324.3072,6798.0,0.026463637082399197,0.9
11195,Moree,69.3971,7993.0,0.03111560035298864,115.2
11196,Moree Surrounds,19807.3163,5420.0,0.021099281110121156,0.3
11197,Narrabri,180.363,6965.0,0.027113744083393704,38.6
11198,Narrabri Surrounds,11965.644,4656.0,0.018125138901978616,0.4
11199,Gunnedah,90.1551,9879.0,0.03845752732230386,109.6
11200,Gunnedah Surrounds,5765.8611,4394.0,0.01710521055311298,0.8
11201,Quirindi,5077.8424,7608.0,0.029616850680037225,1.5
11202,Tamworth - East,102.1806,21607.0,0.08411294593106787,211.5
11203,Tamworth - North,76.0422,16607.0,0.06464866446416644,218.4
11204,Tamworth - West,62.5221,6143.0,0.023913816210235105,98.3
11205,Tamworth Surrounds,8980.4841,19132.0,0.07447812660495165,2.1
11206,Belmont - Bennetts Green,22.2102,17849.0,0.06948359198054475,803.6
11207,Belmont South - Blacksmiths,6.8068,5679.0,0.022107530890106652,834.3
11208,Charlestown - Dudley,22.2795,25357.0,0.09871115703124396,1138.1
11209,Glendale - Cardiff - Hillsborough,21.9176,24725.0,0.09625087185382761,1128.1
11210,Mount Hutton - Windale,6.2654,9542.0,0.0371456347514347,1523.0
11211,Redhead,3.6842,3774.0,0.014691639651217206,1024.4
11212,Swansea - Caves Beach,32.4068,12512.0,0.04870741794277415,386.1
11213,Valentine - Eleebana,9.9748,12495.0,0.04864123938578669,1252.7
11214,Warners Bay - Boolaroo,12.54,14634.0,0.056968058997327126,1167.0
11215,Bolton Point - Teralba,21.9698,10157.0,0.039539741371863585,462.3
11216,Bonnells Bay - Silverwater,10.1593,9693.0,0.03773345605173512,954.1
11217,Edgeworth - Cameron Park,15.6078,16456.0,0.06406084316386601,1054.3
11218,Morisset - Cooranbong,330.5207,18078.0,0.07037505607172884,54.7
11219,Toronto - Awaba,43.6626,13954.0,0.05432091671782853,319.6
11220,Wangi Wangi - Rathmines,13.1714,9455.0,0.03680695625391062,717.8
11221,West Wallsend - Barnsley - Killingworth,72.5413,7272.0,0.02830885096546145,100.2
11222,Adamstown - Kotara,8.0182,16631.0,0.06474209301520756,2074.2
11223,Beresfield - Hexham,59.2573,8609.0,0.033513599829710895,145.3
11224,Hamilton - Broadmeadow,6.7462,12767.0,0.04970009629758613,1892.5
11225,Lambton - New Lambton,10.5485,17343.0,0.06751380669609432,1644.1
11226,Maryland - Fletcher - Minmi,17.2634,16509.0,0.06426716454741516,956.3
11227,Mayfield - Warabrook,7.5372,15588.0,0.06068184390121192,2068.1
11228,Merewether - The Junction,7.2464,14498.0,0.05643863054142741,2000.7
11229,Newcastle - Cooks Hill,3.9772,12828.0,0.04993756053148232,3225.4
11230,Newcastle Port - Kooragang,30.8589,28.0,0.00010899997621464805,0.9
11231,Shortland - Jesmond,12.7086,12694.0,0.049415917788169374,998.9
11232,Stockton - Fullerton Cove,30.5131,8809.0,0.03429217108838695,288.7
11233,Wallsend - Elermore Vale,21.52,21030.0,0.08186676784978744,977.2
11234,Waratah - North Lambton,5.114,12933.0,0.05034631044228726,2528.9
11235,Wickham - Carrington - Tighes Hill,3.5549,9196.0,0.03579870647392512,2586.9
11236,Ballina,36.1602,18578.0,0.07232148421841898,513.8
11237,Ballina Surrounds,406.5486,18291.0,0.07120423446221884,45.0
11238,Bangalow,186.5293,6953.0,0.02706702980787314,37.3
11239,Brunswick Heads - Ocean Shores,54.4454,9141.0,0.03558459937778921,167.9
11240,Byron Bay,39.7771,10942.0,0.042595633562167105,275.1
11241,Evans Head,543.5362,5636.0,0.0219401380694913,10.4
11242,Lennox Head - Skennars Head,37.846,9204.0,0.03582984932427216,243.2
11243,Mullumbimby,268.075,8864.0,0.03450627818452287,33.1
11244,Casino,138.9581,12333.0,0.048010596666259085,88.8
11245,Casino Surrounds,3950.1024,7369.0,0.028686458025919334,1.9
11246,Goonellabah,25.2269,13597.0,0.05293116702109177,539.0
11247,Kyogle,1979.7778,7601.0,0.029589600685983566,3.8
11248,Lismore,63.3097,15247.0,0.059354379905169244,240.8
11249,Lismore Surrounds,1233.2421,15770.0,0.06139034374660714,12.8
11250,Kingscliff - Fingal Head,38.4359,14800.0,0.05761427314202825,385.1
11251,Murwillumbah,24.2868,9478.0,0.036896491948658364,390.3
11252,Murwillumbah Surrounds,908.2415,10310.0,0.04013534838475077,11.4
11253,Pottsville,189.4635,14033.0,0.05462845236500557,74.1
11254,Tweed Heads,100.4343,20548.0,0.07999041111637814,204.6
11550,Banora Point,9.4424,16252.0,0.06326670048001644,1721.2
11551,Terranora - North Tumbulgum,29.0247,3319.0,0.012920390037729173,114.4
11552,Tweed Heads South,8.4562,8411.0,0.0327428142836216,994.7
11256,Griffith (NSW),56.3332,20670.0,0.08046533958417054,366.9
11257,Griffith Surrounds,23020.2045,12903.0,0.050229524753485855,0.6
11258,Leeton,373.8747,10359.0,0.04032609834312639,27.7
11259,Narrandera,5409.2764,5935.0,0.023104102101212005,1.1
