SA2_CODE_2016,SA2_5DIG16,AREA_SQKM,NR_OF_PEOPLE_2016,NR_OF_PEOPLE_2016_%,POPULATION_DENSITY_2016
105031103,11103,4128.6,5728,0.02,1.3873952429394951
105031104,11104,5393.4,4452,0.02,0.825453331850039
105031105,11105,5956.3,6694,0.03,1.123852055806457
105031106,11106,3603.4,9064,0.04,2.5154021202197923
106011107,11107,392.3,10404,0.04,26.52052001019628
106011108,11108,69.0,22426,0.09,325.0144927536232
106011109,11109,1570.4,8062,0.03,5.133723892002037
106011110,11110,2250.0,9114,0.04,4.050666666666666
106011111,11111,90.6,18057,0.07,199.30463576158942
106011112,11112,127.2,16521,0.07,129.8820754716981
106011113,11113,4067.2,5037,0.02,1.2384441384736429
106021114,11114,32.1,6812,0.03,212.21183800623052
106021115,11115,40.6,28091,0.12,691.8965517241379
106021116,11116,70.5,7793,0.03,110.53900709219859
106021117,11117,175.4,23179,0.1,132.14937286202965
106021118,11118,61.5,10259,0.04,166.8130081300813
106031119,11119,68.1,5913,0.02,86.82819383259913
106031120,11120,30.0,6882,0.03,229.4
106031121,11121,47.5,21447,0.09,451.5157894736842
106031122,11122,109.5,14107,0.06,128.8310502283105
106031123,11123,247.5,5510,0.02,22.262626262626263
106031124,11124,204.3,5161,0.02,25.26186979931473
106031125,11125,365.2,14016,0.06,38.378970427163196
106041126,11126,262.4,12403,0.05,47.26753048780488
106041127,11127,3142.5,4065,0.02,1.2935560859188544
106041128,11128,118.6,5964,0.02,50.286677908937605
106041129,11129,7949.0,8445,0.03,1.0623977858850169
107011131,11131,56.6,24045,0.1,424.8233215547703
107011132,11132,44.2,8985,0.04,203.28054298642533
107011133,11133,12.7,11,0.0,0.8661417322834646
107011134,11134,25.1,16018,0.07,638.1673306772908
107011545,11545,12.5,14336,0.06,1146.88
107011546,11546,7.0,10114,0.04,1444.857142857143
107011547,11547,5.5,4425,0.02,804.5454545454545
107021135,11135,744.3,5,0.0,0.006717721348918447
107031136,11136,75.1,14653,0.06,195.11318242343543
107031137,11137,7.2,7068,0.03,981.6666666666666
107031138,11138,13.9,7888,0.03,567.4820143884892
107031139,11139,7.3,6044,0.02,827.945205479452
107031140,11140,222.3,8027,0.03,36.10886189833558
107031141,11141,49.6,17487,0.07,352.56048387096774
