SA2_5DIG,shortest_time_sec,closest_hospital_IDs,closest_hospital_distances
11027,2603.659948723665,570;62;557;763;53,2869.880715639282;3588.071842603946;3606.0807156392825;3781.0881618548656;4119.780715639283
11028,944.9725458025705,167;703;105;999;331,944.9725458025705;1321.4897730380092;1371.0649302707138;1394.6649302707137;1433.2897730380093
11029,752.7339592675636,105;999;167;703;331,778.0785313901346;801.6785313901345;1216.8008875186845;1421.710855754858;1484.4285687593424
11030,1769.7751923076924,331;703;70;167;105,1830.8728418803419;1880.297158119658;2183.390576923077;2209.7696581196583;2267.967051282051
11031,303.75825388861017,167;703;331;480;105,305.4457888323418;659.9063794710056;767.6242634936565;1147.6827467565051;1462.6660741165506
11032,261.4034367364283,703;331;167;105;999,286.77696802294696;360.21380537554444;488.5056783172209;1116.6619728035696;1130.5619728035695
11033,586.9288228822883,331;703;167;105;999,586.9288228822883;616.7288228822881;920.3288228822884;930.2044161559013;944.1044161559014
11034,720.9709562354234,167;703;105;331;999,720.9709562354234;995.5634243380438;1095.9023597201262;1107.3634243380436;1119.5023597201262
11035,408.32833031946956,331;703;167;105;999,408.32833031946956;506.65890596745027;892.1236286919832;1159.2747136829416;1173.1747136829415
11036,609.7236569861647,331;703;167;70;480,610.775719805559;677.5772778262495;1022.5951140471147;1079.4903901283808;1387.4758569113799
11037,470.6713484945548,331;703;105;999;167,527.2086483023703;557.0086483023703;637.3461082639335;651.2461082639334;860.6086483023703
11038,707.4901061084026,167;703;331;105;999,707.4901061084026;962.2901061084028;1074.0901061084026;1505.3755950673929;1528.9755950673932
11039,480.84458030155275,167;703;480;331;70,480.84458030155275;891.2445803015528;930.081989348136;1003.0445803015527;1319.681989348136
11040,309.56536994660564,999;105;331;703;167,314.27698957538774;354.9145902195101;1251.1265869988983;1280.9265869988983;1577.7458979574542
11041,505.8398999693784,480;167;70;703;331,553.1059099724405;663.2120036745943;961.3131468816986;1073.6120036745942;1185.4120036745942
11042,171.05992125984253,999;105;331;703;167,185.12602004294916;191.22999284180386;1030.9696420901932;1060.7696420901932;1364.369642090193
11043,346.46699956197983,331;703;167;105;999,346.7414805081034;395.6793166885677;795.4532457293035;1249.4342268944372;1263.334226894437
11044,274.1494949035311,480;70;167;703;331,274.1494949035311;673.1567528212596;1047.6606980342192;1458.060698034219;1563.5885374954494
11045,643.5264018903936,1004;70;480;568;331,643.5264018903936;1455.35413978006;1457.2014177951467;1513.9264927746979;2034.5541397800598
11046,881.7058063827517,1004;480;568;70;167,881.7058063827517;1162.107706265343;1574.9847368982817;1635.5851638381896;2058.1077062653435
11047,302.5557531925984,70;480;1004;167;331,313.2448983580923;560.4626791764399;1252.76965076883;1348.0033685170708;1400.3804534792807
11048,325.8725128994297,1004;70;480;568;331,325.8725128994297;1428.1202860505116;1487.898669321988;1809.7009142753689;2106.8119534715306
11049,1439.7124666073018,1004;70;480;568;331,1459.550638171564;1583.1258533689522;1910.8258533689525;2081.1674384090234;2195.653665776195
11050,1110.081549781131,1004;480;568;66;70,1110.081549781131;1664.1835522026638;1676.4006705783738;1871.7076278290021;1888.3699171090623
11051,818.3864337101747,70;331;703;480;167,859.2956834532374;981.1630215827338;1048.2630215827337;1182.4945529290853;1422.873833504625
11052,1478.85625,1004;66;480;568;460,1478.85625;1891.15625;2001.35625;2158.05625;2201.45625
11053,324.2106617647059,480;70;167;1004;703,324.2106617647059;832.9106617647059;1218.6712299465241;1429.956631016043;1629.071229946524
11054,774.1954871060171,1004;480;70;167;568,777.5678878428163;982.2429390094146;1490.127138763815;1878.2429390094146;1904.6065595579203
11055,664.540517078694,70;1004;480;331;703,664.540517078694;963.6988299679184;992.2405170786941;1393.6688997924136;1460.7688997924138
11056,342.15682564708976,1004;70;480;568;331,342.15682564708976;1297.5512744711602;1583.2577650768624;1708.4172776244907;1948.7204309551964
11057,632.6159358047017,1004;70;480;331;703,636.7080583182641;889.2788313743218;1216.9788313743218;1708.7782549728752;1775.8782549728753
11058,287.4787993441796,54;55;81;687;643,314.7673435069576;495.6657039559424;2044.6252490856348;2621.0033673855464;2657.3033673855466
11059,489.7212267958031,54;55;687;643;81,489.7212267958031;553.4376378800107;2294.3033001524527;2364.5587839655636;2406.321226795803
11060,1418.2464923747277,54;55;81;687;643,1615.226347131445;1634.509716775599;3018.8102106027595;3182.680479302832;3186.3953667392884
11061,751.0067497850388,643;54;687;55;473,755.3108770421325;3060.718615649183;3064.106728288908;3064.1474204643164;3567.298624247636
11062,774.3437641041071,199;458;911;910;905,2516.3039867609446;4551.474996238905;4897.329171054611;5014.255965097036;6331.470317436437
